Date,Open,High,Low,Close,Adj Close,Volume
02-01-2018,42.540001,43.075001,42.314999,43.064999,40.776531,102223600
03-01-2018,43.1325,43.637501,42.990002,43.057499,40.769424,118071600
04-01-2018,43.134998,43.3675,43.02,43.2575,40.95879,89738400
05-01-2018,43.360001,43.842499,43.262501,43.75,41.425121,94640000
06-01-2018,43.587502,43.9025,43.482498,43.587502,41.271259,82271200
07-01-2018,43.637501,43.764999,43.352501,43.5825,41.266521,86336000
08-01-2018,43.290001,43.575001,43.25,43.572498,41.257061,95839600
09-01-2018,43.647499,43.872501,43.622501,43.82,41.491402,74670800
10-01-2018,44.044998,44.34,43.912498,44.272499,41.919853,101672400
11-01-2018,44.474998,44.8475,44.035,44.047501,41.706818,118263600
12-01-2018,44.037498,44.8125,43.767502,44.775002,42.395657,137547200
13-01-2018,44.842499,45.025002,44.5625,44.814999,42.433529,124773600
14-01-2018,44.6525,44.895,44.352501,44.615002,42.24416,129700400
15-01-2018,44.325001,44.445,44.150002,44.25,41.898556,108434400
16-01-2018,44.325001,44.860001,44.205002,44.259998,41.90802,130756400
17-01-2018,44.3125,44.325001,43.299999,43.555,41.24049,204420400
18-01-2018,43.627499,43.737499,42.6325,42.7775,40.504307,166116000
19-01-2018,43,43,42.514999,42.877499,40.59898,156572000
20-01-2018,42.540001,42.540001,41.767502,41.990002,39.758652,202561600
21-01-2018,41.3825,41.842499,41.174999,41.7425,39.524303,184192800
22-01-2018,41.717499,42.110001,41.625,41.857498,39.63319,129915600
23-01-2018,41.7925,42.154999,41.689999,41.945,39.71603,188923200
24-01-2018,41.5,41.700001,40.025002,40.125,37.99276,346375200
25-01-2018,39.775002,40.970001,39,39.122501,37.043526,290954000
26-01-2018,38.7075,40.93,38.5,40.7575,38.591648,272975200
27-01-2018,40.772499,40.849998,39.767502,39.884998,37.765507,206434400
28-01-2018,40.072498,40.25,38.7575,38.787498,36.72633,217562000
29-01-2018,39.267502,39.4725,37.560001,39.102501,37.175549,282690400
30-01-2018,39.625,40.9725,39.377499,40.677502,38.672928,243278000
31-01-2018,40.487499,41.1875,40.412498,41.084999,39.060349,130196800
01-02-2018,40.759998,41.884998,40.720001,41.842499,39.780525,162579600
02-02-2018,42.447498,43.272499,42.25,43.247501,41.11628,204588800
03-02-2018,43.09,43.705002,42.942501,43.107498,40.983181,160704400
04-02-2018,43.012501,43.564999,42.855,42.962502,40.845329,135722000
05-02-2018,43.2075,43.529999,42.752499,42.767502,40.659935,149886400
06-02-2018,42.950001,43.487499,42.927502,43.125,40.999821,123967600
07-02-2018,43.4175,43.912498,43.384998,43.875,41.712864,135249600
08-02-2018,44.087502,44.8475,44.052502,44.7425,42.537605,152648800
09-02-2018,44.775002,45.119999,44.540001,44.5975,42.399757,155712400
10-02-2018,44.814999,45.154999,44.512501,44.529999,42.335579,151128400
11-02-2018,44.634998,44.945,43.165001,43.75,41.594017,195208000
12-02-2018,43.200001,44.075001,43.112499,44.052502,41.881611,153816000
13-02-2018,43.802502,44.435001,43.630001,44.205002,42.026596,113605600
14-02-2018,44.477501,44.5625,44.032501,44.1675,41.990948,95154000
15-02-2018,43.735001,43.962502,43.567501,43.7575,41.601154,126814000
16-02-2018,43.869999,44.279999,43.767502,44.235001,42.055122,95096400
17-02-2018,44.490002,45,44.3475,44.994999,42.777664,128740800
18-02-2018,45.072498,45.5975,45.052502,45.43,43.191231,128828400
19-02-2018,45.647499,45.875,44.810001,44.9925,42.775291,126774000
20-02-2018,45.080002,45.130001,44.452499,44.610001,42.411636,117473600
21-02-2018,44.625,45.060001,44.517502,44.662498,42.461552,90975200
22-02-2018,44.662498,44.779999,44.404999,44.505001,42.31181,157618800
23-02-2018,44.330002,44.3675,43.415001,43.825001,41.665329,133787200
24-02-2018,43.810001,44.200001,43.735001,43.810001,41.651066,78597600
25-02-2018,43.759998,43.772499,42.814999,42.817501,40.707474,148219600
26-02-2018,42.5,43.169998,42.150002,42.212502,40.13229,165963200
27-02-2018,42.0975,42.48,41.235001,41.235001,39.202957,164115200
28-02-2018,42.017502,43.275002,41.610001,43.192501,41.063995,150164800
01-03-2018,43.419998,43.787498,41.73,42.084999,40.011074,163690400
02-03-2018,41.8125,42.505001,41.297501,41.619999,39.568977,166674000
03-03-2018,41.952499,42.9375,41.724998,41.945,39.877964,153594000
04-03-2018,41.66,42.235001,41.1175,41.669998,39.61652,150347200
05-03-2018,41.91,42.1875,41.220001,42.0975,40.022953,121112000
06-03-2018,41.220001,43.002499,41.192501,42.9025,40.788288,138422000
07-03-2018,43.145,43.557499,43.02,43.200001,41.071125,107732800
08-03-2018,42.7425,43.119999,42.049999,42.095001,40.02058,140021200
09-03-2018,42.470001,43.272499,42.462502,42.512501,40.417496,116070800
10-03-2018,43.25,43.5,42.8825,43.3125,41.178078,113634400
11-03-2018,43.057499,43.48,42.924999,43.110001,40.985554,89726400
12-03-2018,43.352501,43.75,43.259998,43.535,41.389614,91557200
13-03-2018,43.695,43.959999,43.462502,43.682499,41.529842,100497200
14-03-2018,43.7575,44.047501,43.7075,43.955002,41.788921,86313600
15-03-2018,44.122501,44.735001,44.102501,44.560001,42.364098,106421600
16-03-2018,44.452499,44.705002,44.220001,44.459999,42.269028,83018000
17-03-2018,43.439999,43.8475,43.165001,43.200001,41.071125,139235200
18-03-2018,42.650002,42.805,41.357498,41.43,39.388351,261964400
19-03-2018,41.7075,41.73,41.022499,41.310001,39.274261,146062000
20-03-2018,41.4175,41.5825,40.305,40.735001,38.727589,134768000
21-03-2018,40.654999,41.355,40.602501,40.912498,38.896351,113528400
22-03-2018,41.029999,41.432499,40.842499,41.055,39.031841,111852000
23-03-2018,41,41.0825,40.157501,40.580002,38.580227,142623200
24-03-2018,40.532501,41.814999,40.459999,41.314999,39.279018,169709600
25-03-2018,41.602501,42.299999,41.317501,42.275002,40.191708,214277600
26-03-2018,43.807499,44.4375,43.450001,44.142502,41.967182,266157600
27-03-2018,43.970001,44.375,43.610001,44.2225,42.043236,136272800
28-03-2018,44.5625,46.0625,44.5425,45.9575,43.692745,224805200
29-03-2018,46.294998,46.9175,46.1875,46.290001,44.008854,169805600
30-03-2018,46.247501,46.555,45.9175,46.512501,44.220383,113611200
31-03-2018,46.637501,46.849998,46.305,46.84,44.531746,92844800
01-04-2018,46.935001,47.592499,46.912498,47.509998,45.168732,111957200
02-04-2018,47.372501,47.514999,46.862499,47.147499,44.996941,104848800
03-04-2018,47.252499,47.3825,46.965,47.037498,44.891953,83115200
04-04-2018,46.695,46.767502,46.275002,46.610001,44.483955,94780800
05-04-2018,46.517502,47.115002,46.5,47.044998,44.899113,76732400
06-04-2018,47,47.227501,46.59,46.747501,44.615189,69176000
07-04-2018,46.797501,46.952499,46.532501,46.577499,44.452938,73190800
08-04-2018,47,47.317501,46.727501,46.907501,44.767887,73603200
